q q_max q_time hits q_time/hits 
1 31 0.795071 1 0.795071
2 31 1.674701 2 0.837350
3 31 2.539797 3 0.846599
4 31 4.354706 5 0.870941
5 31 5.369621 6 0.894937
6 31 7.288038 8 0.911005
7 31 9.219643 10 0.921964
8 31 11.466131 12 0.955511
9 31 13.494769 14 0.963912
10 31 16.203074 16 1.012692
11 31 18.175940 18 1.009774
12 31 21.620989 21 1.029571
13 31 23.373174 23 1.016225
14 31 26.717245 26 1.027586
15 31 28.881640 28 1.031487
16 31 32.333246 31 1.043008
17 31 36.158720 34 1.063492
18 31 42.348112 36 1.176336
19 31 40.372879 38 1.062444
20 31 46.977080 41 1.145782
21 31 52.787464 43 1.227615
22 31 52.812995 46 1.148109
23 31 55.920911 49 1.141243
24 31 58.322532 52 1.121587
25 31 64.658043 55 1.175601
26 31 68.710932 58 1.184671
27 31 72.652188 61 1.191019
28 31 79.204553 65 1.218532
29 31 80.559457 67 1.202380
30 31 84.085517 69 1.218631
31 31 89.168222 71 1.255890
1148.25
