q q_max q_time hits q_time/hits 
1 255 5.117990 1 5.117990
2 255 9.066665 2 4.533333
3 255 14.997206 3 4.999069
4 255 23.631926 5 4.726385
5 255 29.558538 6 4.926423
6 255 38.430294 8 4.803787
7 255 49.264390 10 4.926439
8 255 59.831775 12 4.985981
9 255 70.688940 14 5.049210
10 255 81.040052 16 5.065003
11 255 90.493732 18 5.027430
12 255 103.824926 20 5.191246
13 255 109.495957 22 4.977089
14 255 121.040388 24 5.043349
15 255 129.052481 26 4.963557
16 255 146.432762 29 5.049406
17 255 152.949199 31 4.933845
18 255 165.869450 33 5.026347
19 255 178.145219 35 5.089863
20 255 187.377470 37 5.064256
21 255 194.382914 39 4.984177
22 255 214.461417 42 5.106224
23 255 225.560870 44 5.126383
24 255 281.488866 47 5.989125
25 255 257.560378 49 5.256334
26 255 285.109190 52 5.482869
27 255 293.867233 54 5.441986
28 255 287.097603 56 5.126743
29 255 303.217447 58 5.227887
30 255 299.145297 60 4.985755
31 255 325.918017 63 5.173302
32 255 365.145839 65 5.617628
33 255 402.311181 68 5.916341
34 255 365.698030 70 5.224258
35 255 380.366432 73 5.210499
36 255 372.418083 75 4.965574
37 255 400.055311 77 5.195524
38 255 400.193604 79 5.065742
39 255 385.844107 81 4.763507
40 255 450.564947 84 5.363868
41 255 449.740357 86 5.229539
42 255 502.806261 89 5.649509
43 255 452.419830 91 4.971646
44 255 500.782664 94 5.327475
45 255 545.771005 97 5.626505
46 255 488.864281 99 4.938023
47 255 635.467124 102 6.230070
48 255 629.786558 104 6.055640
49 255 677.890633 106 6.395195
50 255 602.437625 108 5.578126
51 255 741.598056 110 6.741801
52 255 826.190222 113 7.311418
53 255 590.273869 115 5.132816
54 255 600.260256 118 5.086951
55 255 615.168552 120 5.126405
56 255 647.265177 123 5.262319
57 255 667.722030 126 5.299381
58 255 666.150137 128 5.204298
59 255 925.292436 131 7.063301
60 255 727.538922 134 5.429395
61 255 716.820878 136 5.270742
62 255 778.408004 139 5.600058
63 255 1103.900375 142 7.773946
64 255 1032.142282 145 7.118223
65 255 801.029765 147 5.449182
66 255 792.964455 150 5.286430
67 255 1022.229301 153 6.681237
68 255 837.896248 156 5.371130
69 255 793.304177 159 4.989334
70 255 902.527250 162 5.571156
71 255 877.170387 165 5.316184
72 255 979.761435 167 5.866835
73 255 921.376330 170 5.419861
74 255 986.250811 172 5.734016
75 255 905.800908 174 5.205752
76 255 944.244376 177 5.334714
77 255 947.843916 179 5.295217
78 255 1000.393189 182 5.496666
79 255 878.462583 184 4.774253
80 255 913.283650 187 4.883870
81 255 1051.048474 190 5.531834
82 255 938.511402 192 4.888080
83 255 994.984943 195 5.102487
84 255 1318.503076 198 6.659106
85 255 1103.199942 200 5.516000
86 255 1109.262454 203 5.464347
87 255 1293.015546 206 6.276774
88 255 1331.635683 209 6.371463
89 255 1040.014975 211 4.928981
90 255 1223.407907 214 5.716859
91 255 1126.838050 217 5.192802
92 255 1245.707277 220 5.662306
93 255 1373.249852 223 6.158071
94 255 1379.874187 226 6.105638
95 255 1191.517751 229 5.203134
96 255 1214.428056 231 5.257264
97 255 1270.013926 234 5.427410
98 255 1273.782686 236 5.397384
99 255 1206.516739 238 5.069398
100 255 1458.792454 241 6.053081
101 255 1194.437906 243 4.915382
102 255 1274.493671 246 5.180869
103 255 1199.423585 248 4.836385
104 255 1227.302924 251 4.889653
105 255 1320.476916 254 5.198728
106 255 1296.234055 256 5.063414
107 255 1233.210927 259 4.761432
108 255 1374.530071 262 5.246298
109 255 1504.479670 264 5.698787
110 255 1571.084017 267 5.884210
111 255 1454.784613 270 5.388091
112 255 1660.790443 273 6.083481
113 255 1417.593927 275 5.154887
114 255 1414.263801 278 5.087280
115 255 2021.045481 281 7.192333
116 255 1504.158916 284 5.296334
