f f_max loop_dur mc_sweeps min_h avg_h 
1+10E-0.187942 1+10E-8 0.011999 0 1955 2000.000000
1+10E-0.546643 1+10E-8 0.011741 0 1977 2000.000000
1+10E-0.875664 1+10E-8 0.011780 0 1961 2000.000000
1+10E-1.190478 1+10E-8 0.012100 0 1972 2000.000000
1+10E-1.498346 1+10E-8 0.012212 0 1969 2000.000000
1+10E-1.802783 1+10E-8 0.011447 0 1945 2000.000000
1+10E-2.105512 1+10E-8 0.011389 0 1936 2000.000000
1+10E-2.407391 1+10E-8 0.012415 0 1888 2000.000000
1+10E-2.708846 1+10E-8 0.011291 0 1897 2000.000000
1+10E-3.010088 1+10E-8 0.023118 0 3714 4000.000000
1+10E-3.311224 1+10E-8 0.011454 0 1851 2000.000000
1+10E-3.612307 1+10E-8 0.023402 0 3601 4000.000000
1+10E-3.913363 1+10E-8 0.023460 0 3613 4000.000000
1+10E-4.214407 1+10E-8 0.046851 0 7499 8000.000000
1+10E-4.515443 1+10E-8 0.068460 0 11050 12000.000000
1+10E-4.816477 1+10E-8 0.022789 0 3659 4000.000000
1+10E-5.117508 1+10E-8 0.026352 0 3736 4000.000000
1+10E-5.418539 1+10E-8 0.130925 0 20004 22000.000000
1+10E-5.719570 1+10E-8 0.069462 0 10805 12000.000000
1+10E-6.020600 1+10E-8 0.034973 0 5608 6000.000000
1+10E-6.321630 1+10E-8 0.035048 0 5417 6000.000000
1+10E-6.622660 1+10E-8 0.058713 0 9303 10000.000000
1+10E-6.923690 1+10E-8 0.034751 0 5508 6000.000000
1+10E-7.224720 1+10E-8 0.069631 0 10875 12000.000000
1+10E-7.525750 1+10E-8 0.047086 0 7252 8000.000000
1+10E-7.826780 1+10E-8 0.079154 0 11212 12000.000000
1+10E-8.127810 1+10E-8 0.050679 0 7233 8000.000000
0.963323
