f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-8 0.469505 80000 2866 3118.148599
1+1E-0.187942 1+1E-8 0.114199 20000 709 779.537150
1+1E-0.546643 1+1E-8 0.116485 20000 734 779.537150
1+1E-0.875664 1+1E-8 0.115497 20000 726 779.537150
1+1E-1.190478 1+1E-8 0.179843 30000 1109 1169.305725
1+1E-1.498346 1+1E-8 0.292331 50000 1835 1948.842875
1+1E-1.802783 1+1E-8 0.412296 70000 2551 2728.380024
1+1E-2.105512 1+1E-8 0.490123 80000 2818 3118.148599
1+1E-2.407391 1+1E-8 0.691394 100000 3583 3897.685749
1+1E-2.708846 1+1E-8 0.956268 150000 5320 5846.528624
1+1E-3.010088 1+1E-8 1.205289 200000 7026 7795.371498
1+1E-3.311224 1+1E-8 1.662936 270000 9558 10523.751523
1+1E-3.612307 1+1E-8 3.264564 520000 18245 20267.965895
1+1E-3.913363 1+1E-8 3.952045 560000 19729 21827.040195
1+1E-4.214407 1+1E-8 4.803485 700000 24564 27283.800244
1+1E-4.515443 1+1E-8 7.242137 1160000 41216 45213.154689
1+1E-4.816477 1+1E-8 4.496391 670000 23895 26114.494519
1+1E-5.117508 1+1E-8 4.088651 640000 22496 24945.188794
1+1E-5.418539 1+1E-8 8.204503 1330000 46674 51839.220463
1+1E-5.719570 1+1E-8 7.169421 1200000 42108 46772.228989
1+1E-6.020600 1+1E-8 8.469216 1420000 49917 55347.137637
1+1E-6.321630 1+1E-8 8.235046 1380000 48634 53788.063337
1+1E-6.622660 1+1E-8 7.749964 1300000 45736 50669.914738
1+1E-6.923690 1+1E-8 5.417325 910000 32226 35468.940317
1+1E-7.224720 1+1E-8 8.014391 1340000 47356 52228.989038
1+1E-7.525750 1+1E-8 7.942148 1330000 46671 51839.220463
1+1E-7.826780 1+1E-8 6.713604 1110000 38944 43264.311815
102.47
