L: 4 | f_final: 1+1E-8 | flatness: 90 | dim: 2D | lattie: SS
Sat May 29 09:47:13 2021 | f: 1+1E0.235094/1+1E-8 | sweeps: 10000 | flat time: 0.005509s
Sat May 29 09:47:13 2021 | f: 1+1E-0.187942/1+1E-8 | sweeps: 10000 | flat time: 0.005685s
Sat May 29 09:47:13 2021 | f: 1+1E-0.546643/1+1E-8 | sweeps: 10000 | flat time: 0.005768s
Sat May 29 09:47:13 2021 | f: 1+1E-0.875664/1+1E-8 | sweeps: 10000 | flat time: 0.005791s
Sat May 29 09:47:13 2021 | f: 1+1E-1.190478/1+1E-8 | sweeps: 20000 | flat time: 0.011563s
Sat May 29 09:47:13 2021 | f: 1+1E-1.498346/1+1E-8 | sweeps: 20000 | flat time: 0.011518s
Sat May 29 09:47:13 2021 | f: 1+1E-1.802783/1+1E-8 | sweeps: 30000 | flat time: 0.017195s
Sat May 29 09:47:13 2021 | f: 1+1E-2.105512/1+1E-8 | sweeps: 30000 | flat time: 0.017198s
Sat May 29 09:47:13 2021 | f: 1+1E-2.407391/1+1E-8 | sweeps: 40000 | flat time: 0.022778s
Sat May 29 09:47:13 2021 | f: 1+1E-2.708846/1+1E-8 | sweeps: 30000 | flat time: 0.017119s
Sat May 29 09:47:13 2021 | f: 1+1E-3.010088/1+1E-8 | sweeps: 50000 | flat time: 0.028503s
Sat May 29 09:47:13 2021 | f: 1+1E-3.311224/1+1E-8 | sweeps: 70000 | flat time: 0.039769s
Sat May 29 09:47:13 2021 | f: 1+1E-3.612307/1+1E-8 | sweeps: 70000 | flat time: 0.039826s
Sat May 29 09:47:13 2021 | f: 1+1E-3.913363/1+1E-8 | sweeps: 50000 | flat time: 0.028387s
Sat May 29 09:47:13 2021 | f: 1+1E-4.214407/1+1E-8 | sweeps: 80000 | flat time: 0.045390s
Sat May 29 09:47:13 2021 | f: 1+1E-4.515443/1+1E-8 | sweeps: 50000 | flat time: 0.028406s
Sat May 29 09:47:13 2021 | f: 1+1E-4.816477/1+1E-8 | sweeps: 40000 | flat time: 0.022734s
Sat May 29 09:47:13 2021 | f: 1+1E-5.117508/1+1E-8 | sweeps: 80000 | flat time: 0.045410s
Sat May 29 09:47:13 2021 | f: 1+1E-5.418539/1+1E-8 | sweeps: 110000 | flat time: 0.062702s
Sat May 29 09:47:14 2021 | f: 1+1E-5.719570/1+1E-8 | sweeps: 150000 | flat time: 0.085830s
Sat May 29 09:47:14 2021 | f: 1+1E-6.020600/1+1E-8 | sweeps: 80000 | flat time: 0.045486s
Sat May 29 09:47:14 2021 | f: 1+1E-6.321630/1+1E-8 | sweeps: 60000 | flat time: 0.033994s
Sat May 29 09:47:14 2021 | f: 1+1E-6.622660/1+1E-8 | sweeps: 40000 | flat time: 0.022620s
Sat May 29 09:47:14 2021 | f: 1+1E-6.923690/1+1E-8 | sweeps: 60000 | flat time: 0.033923s
Sat May 29 09:47:14 2021 | f: 1+1E-7.224720/1+1E-8 | sweeps: 70000 | flat time: 0.039942s
Sat May 29 09:47:14 2021 | f: 1+1E-7.525750/1+1E-8 | sweeps: 80000 | flat time: 0.045702s
Sat May 29 09:47:14 2021 | f: 1+1E-7.826780/1+1E-8 | sweeps: 70000 | flat time: 0.039951s
