f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-5 0.242495 450000 52 56.250000
1+1E-0.187942 1+1E-5 0.159295 280000 32 35.000000
1+1E-0.546643 1+1E-5 0.227661 380000 43 47.500000
1+1E-0.875664 1+1E-5 0.330063 560000 63 70.000000
1+1E-1.190478 1+1E-5 0.719979 1080000 122 135.000000
1+1E-1.498346 1+1E-5 0.781351 1220000 138 152.500000
1+1E-1.802783 1+1E-5 0.811859 1360000 153 170.000000
1+1E-2.105512 1+1E-5 1.238590 2080000 234 260.000000
1+1E-2.407391 1+1E-5 1.260210 2120000 239 265.000000
1+1E-2.708846 1+1E-5 2.194883 3510000 395 438.750000
1+1E-3.010088 1+1E-5 2.772449 4640000 522 580.000000
1+1E-3.311224 1+1E-5 2.339730 3890000 438 486.250000
1+1E-3.612307 1+1E-5 1.607612 2650000 299 331.250000
1+1E-3.913363 1+1E-5 2.815349 4520000 510 565.000000
1+1E-4.214407 1+1E-5 3.449456 5650000 637 706.250000
1+1E-4.515443 1+1E-5 4.190184 6960000 784 870.000000
1+1E-4.816477 1+1E-5 5.676703 9160000 1031 1145.000000
30.8184
