f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-9 0.005277 10000 1944 2000.000000
1+1E-0.187942 1+1E-9 0.005429 10000 1955 2000.000000
1+1E-0.546643 1+1E-9 0.005745 10000 1983 2000.000000
1+1E-0.875664 1+1E-9 0.005885 10000 1963 2000.000000
1+1E-1.190478 1+1E-9 0.006036 10000 1963 2000.000000
1+1E-1.498346 1+1E-9 0.005962 10000 1935 2000.000000
1+1E-1.802783 1+1E-9 0.006249 10000 1949 2000.000000
1+1E-2.105512 1+1E-9 0.005992 10000 1936 2000.000000
1+1E-2.407391 1+1E-9 0.005853 10000 1869 2000.000000
1+1E-2.708846 1+1E-9 0.011990 20000 3657 4000.000000
1+1E-3.010088 1+1E-9 0.017689 30000 5627 6000.000000
1+1E-3.311224 1+1E-9 0.023707 40000 7395 8000.000000
1+1E-3.612307 1+1E-9 0.017654 30000 5556 6000.000000
1+1E-3.913363 1+1E-9 0.034984 60000 10977 12000.000000
1+1E-4.214407 1+1E-9 0.022983 40000 7503 8000.000000
1+1E-4.515443 1+1E-9 0.023004 40000 7256 8000.000000
1+1E-4.816477 1+1E-9 0.011594 20000 3612 4000.000000
1+1E-5.117508 1+1E-9 0.012024 20000 3650 4000.000000
1+1E-5.418539 1+1E-9 0.023906 40000 7209 8000.000000
1+1E-5.719570 1+1E-9 0.017649 30000 5473 6000.000000
1+1E-6.020600 1+1E-9 0.017612 30000 5646 6000.000000
1+1E-6.321630 1+1E-9 0.017692 30000 5561 6000.000000
1+1E-6.622660 1+1E-9 0.005900 10000 1823 2000.000000
1+1E-6.923690 1+1E-9 0.023399 40000 7253 8000.000000
1+1E-7.224720 1+1E-9 0.011493 20000 3623 4000.000000
1+1E-7.525750 1+1E-9 0.028947 50000 9013 10000.000000
1+1E-7.826780 1+1E-9 0.011509 20000 3655 4000.000000
1+1E-8.127810 1+1E-9 0.011545 20000 3638 4000.000000
1+1E-8.428840 1+1E-9 0.011535 20000 3659 4000.000000
1+1E-8.729870 1+1E-9 0.005714 10000 1809 2000.000000
0.415224
