f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-11 0.005230 10000 1967 2000.000000
1+1E-0.187942 1+1E-11 0.005475 10000 1982 2000.000000
1+1E-0.546643 1+1E-11 0.005619 10000 1982 2000.000000
1+1E-0.875664 1+1E-11 0.005651 10000 1975 2000.000000
1+1E-1.190478 1+1E-11 0.005663 10000 1961 2000.000000
1+1E-1.498346 1+1E-11 0.005674 10000 1937 2000.000000
1+1E-1.802783 1+1E-11 0.005644 10000 1911 2000.000000
1+1E-2.105512 1+1E-11 0.005632 10000 1924 2000.000000
1+1E-2.407391 1+1E-11 0.011242 20000 3860 4000.000000
1+1E-2.708846 1+1E-11 0.011224 20000 3670 4000.000000
1+1E-3.010088 1+1E-11 0.005605 10000 1817 2000.000000
1+1E-3.311224 1+1E-11 0.022476 40000 7330 8000.000000
1+1E-3.612307 1+1E-11 0.022365 40000 7204 8000.000000
1+1E-3.913363 1+1E-11 0.011129 20000 3714 4000.000000
1+1E-4.214407 1+1E-11 0.016718 30000 5565 6000.000000
1+1E-4.515443 1+1E-11 0.011193 20000 3665 4000.000000
1+1E-4.816477 1+1E-11 0.011266 20000 3635 4000.000000
1+1E-5.117508 1+1E-11 0.011276 20000 3614 4000.000000
1+1E-5.418539 1+1E-11 0.022564 40000 7227 8000.000000
1+1E-5.719570 1+1E-11 0.039355 70000 12672 14000.000000
1+1E-6.020600 1+1E-11 0.039554 70000 12784 14000.000000
1+1E-6.321630 1+1E-11 0.027975 50000 9094 10000.000000
1+1E-6.622660 1+1E-11 0.005603 10000 1819 2000.000000
1+1E-6.923690 1+1E-11 0.016850 30000 5496 6000.000000
1+1E-7.224720 1+1E-11 0.044978 80000 14581 16000.000000
1+1E-7.525750 1+1E-11 0.039415 70000 12636 14000.000000
1+1E-7.826780 1+1E-11 0.022681 40000 7519 8000.000000
1+1E-8.127810 1+1E-11 0.016930 30000 5468 6000.000000
1+1E-8.428840 1+1E-11 0.022496 40000 7444 8000.000000
1+1E-8.729870 1+1E-11 0.039402 70000 13044 14000.000000
1+1E-9.030900 1+1E-11 0.011310 20000 3674 4000.000000
1+1E-9.331930 1+1E-11 0.011263 20000 3612 4000.000000
1+1E-9.632960 1+1E-11 0.056403 100000 18206 20000.000000
1+1E-9.933990 1+1E-11 0.033816 60000 10972 12000.000000
1+1E-10.235020 1+1E-11 0.017078 30000 5422 6000.000000
1+1E-10.536050 1+1E-11 0.022596 40000 7287 8000.000000
1+1E-10.837080 1+1E-11 0.039495 70000 12723 14000.000000
0.709109
